UPRN,CH2 Calendar Code,CH2 Cal. No.,Calendar File
9059005571,R: F2 | D: F1 | G: F4 | F: Tu1 | C: ,1,Calendar_1.PDF
9059064443,R: F2 | D: F1 | G: F4 | F: Tu1 | C: F2,2,Calendar_2.PDF
9059011708,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059007321,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059022933,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059007959,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059008471,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059004637,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059008995,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059008566,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059008141,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059007398,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059009556,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059030109,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059004789,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059020032,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059060911,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059057317,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059026320,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059000044,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059037027,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059053117,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059011102,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059011630,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059012348,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
9059007688,R: Tu2 | D: Tu1 | G: F2 | F: W1 | C: Th2,32,Calendar_32.PDF
