UPRN,R Route,D Route,G Route,F Route,C Route,R Day,R Wk,D Day,D WK,G Day,G Wk,F Day,F Wk,C Day,F Wk
9059052686,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059015840,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059016314,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059036948,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059057925,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059048071,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059063327,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059027223,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059018457,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059023189,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059029503,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059015961,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059034938,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059052983,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059009302,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059021881,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059040419,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059046773,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059009714,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059041358,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059013714,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059020773,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059037364,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059068151,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059043469,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059012659,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059017696,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059064113,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059047604,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059006490,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059033705,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059000728,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
