UPRN,Cal No.,Cal Code,R D,R W,PC D,PC W,M D,M W,F D,F W,C D,C W,Calendar File
9059104443,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104444,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104445,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104446,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104447,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104448,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104449,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104450,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104452,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104454,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104455,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059104457,1,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: F2a,F,1,Tu,3,F,3,W,1,F,2a,Calendar_1.pdf
9059059568,2,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: Tu2,F,1,Tu,3,F,3,W,1,Tu,2,Calendar_2.pdf
9059008530,2,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: Tu2,F,1,Tu,3,F,3,W,1,Tu,2,Calendar_2.pdf
9059033944,2,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: Tu2,F,1,Tu,3,F,3,W,1,Tu,2,Calendar_2.pdf
9059065060,2,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: Tu2,F,1,Tu,3,F,3,W,1,Tu,2,Calendar_2.pdf
9059013515,2,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: Tu2,F,1,Tu,3,F,3,W,1,Tu,2,Calendar_2.pdf
9059044386,2,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: Tu2,F,1,Tu,3,F,3,W,1,Tu,2,Calendar_2.pdf
9059069912,2,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: Tu2,F,1,Tu,3,F,3,W,1,Tu,2,Calendar_2.pdf
9059023825,2,R: F1 | PC: Tu3 | M: F3 | F: W1 | C: Tu2,F,1,Tu,3,F,3,W,1,Tu,2,Calendar_2.pdf
