UPRN,Calendar File,R Rnd,R Day,R Wk,PC Rnd,PC Day,PC Wk,MPT Rnd,MPT Day,MPT Wk,F Rnd,F Day,C Rnd,C Day,C Wk,CH2 Spec,Cal No,Cal Ref,R Day,R Wk,PC Day,PC Wk,M Day,M Wk,F Day,F Wk,C Day,C Wk,Code
9059095007,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059034698,Calendar_27.pdf,106,Thursday,1,P6,Monday,4,MPT12,Monday,1,F19,Wednesday,C26,Thursday,2,,27,,Th,1,M,4,M,1,W,1,Th,2,R: Th1 | PC: M4 | M: M1 | F: W1 | C: Th2
9059015975,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096077,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
009059047960,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
9059094913,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059094914,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059094915,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059094916,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095009,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099471,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082943,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096078,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
009059047956,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
9059099392,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059102908,Calendar_32.pdf,106A,Thursday,2,P22,Tuesday,2,MPT20,Thursday,3,F21,Friday,C28,Friday,2,,32,,Th,2,Tu,2,Th,3,F,1,F,2,R: Th2 | PC: Tu2 | M: Th3 | F: F1 | C: F2
9059102909,Calendar_32.pdf,106A,Thursday,2,P22,Tuesday,2,MPT20,Thursday,3,F21,Friday,C28,Friday,2,,32,,Th,2,Tu,2,Th,3,F,1,F,2,R: Th2 | PC: Tu2 | M: Th3 | F: F1 | C: F2
9059095011,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099472,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082918,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096079,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
009059048226,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
9059099393,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095013,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099473,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082919,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096080,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
009059048229,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
9059099394,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095015,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095004,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099474,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082920,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096081,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095016,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095005,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099395,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059047315,Calendar_46.pdf,106,Wednesday,1,P23,Tuesday,3,MPT14,Monday,2,F20,Thursday,C26,Thursday,2,,46,,W,1,Tu,3,M,2,Th,1,Th,2,R: W1 | PC: Tu3 | M: M2 | F: Th1 | C: Th2
9059095017,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059052054,Calendar_62.pdf,106A,Wednesday,2,P7,Tuesday,4,MPT21,Thursday,3,F21,Friday,C27,Thursday,2,,62,,W,2,Tu,4,Th,3,F,1,Th,2,R: W2 | PC: Tu4 | M: Th3 | F: F1 | C: Th2
9059095006,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099475,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082914,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096082,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095018,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099396,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095019,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099397,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095020,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099476,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096083,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095021,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059087780,Calendar_22.pdf,106A,Monday,2,P8,Wednesday,2,MPT17,Monday,3,F23,Friday,C17,Monday,2,,22,,M,2,W,2,M,3,F,1,M,2,R: M2 | PC: W2 | M: M3 | F: F1 | C: M2
9059099398,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095022,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059033655,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
9059099477,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096084,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095023,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059099399,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059033656,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
9059099478,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
